,title,averageRating,cluster_agg
1716,Holy Man (1998),2.583333333333333,5
8472,Sex Tape (2014),2.6,5
5753,Sweet Liberty (1986),2.5,5
1758,Celebrity (1998),2.6,5
4798,Stuck on You (2003),2.8,5
4802,Calendar Girls (2003),2.625,5
2886,"Replacements, The (2000)",2.6842105263157894,5
2102,Funny Farm (1988),2.590909090909091,5
5547,Almost an Angel (1990),2.5,5
6108,Grandma's Boy (2006),2.571428571428572,5
524,"Pallbearer, The (1996)",2.5,5
8330,"Fuck You, Goethe (Fack Ju Göhte) (2013)",2.75,5
530,Ed (1996),2.6,5
3397,Loverboy (1989),2.5,5
9261,Neighbors 2: Sorority Rising (2016),2.6,5
3171,Town & Country (2001),2.5,5
6241,"OH in Ohio, The (2006)",2.5,5
579,Celtic Pride (1996),2.5625,5
3040,Sugar & Spice (2001),2.7142857142857144,5
7874,Think Like a Man (2012),2.5,5
588,"Great White Hype, The (1996)",2.5,5
9266,Jimmy Carr: Making People Laugh (2010),2.5,5
598,Spy Hard (1996),2.5172413793103448,5
6217,Nacho Libre (2006),2.4642857142857144,5
9273,Barbershop: The Next Cut (2016),2.5,5
9275,The Boss (2016),2.6666666666666665,5
6202,Stick It (2006),2.583333333333333,5
9519,Munna bhai M.B.B.S. (2003),2.5,5
7857,American Reunion (American Pie 4) (2012),2.625,5
6181,"Benchwarmers, The (2006)",2.772727272727273,5
9494,The Quiet Family (1998),2.5,5
4532,Gotcha! (1985),2.5,5
4941,Envy (2004),2.75,5
6093,"Ringer, The (2005)",2.75,5
6749,American Pie Presents Beta House (American Pie 6: Beta House) (2007),2.75,5
2930,"Bank Dick, The (1940)",2.5,5
6830,"House Bunny, The (2008)",2.5,5
9181,Daddy's Home (2015),2.6666666666666665,5
6831,"Rocker, The (2008)",2.75,5
3185,Summer Rental (1985),2.5,5
3246,Scary Movie 2 (2001),2.6538461538461537,5
58,Bio-Dome (1996),2.532258064516129,5
3954,Barbershop (2002),2.7142857142857144,5
2829,But I'm a Cheerleader (1999),2.625,5
9171,Zoolander 2 (2016),2.5,5
3906,Who Is Cletis Tout? (2001),2.5,5
5177,Hello Again (1987),2.5,5
3175,Lost in America (1985),2.5,5
2531,Who's That Girl? (1987),2.5,5
5176,Father Hood (1993),2.5,5
8663,The Hungover Games (2014),2.5,5
1393,Dr. Dolittle (1998),2.609375,5
9196,Moonwalkers (2015),2.5,5
8061,"Guilt Trip, The (2012)",2.5,5
3623,Not Another Teen Movie (2001),2.571428571428572,5
7888,Prometheus (2012),3.2962962962962963,6
7982,Resident Evil: Retribution (2012),3.75,6
7411,Resident Evil: Afterlife (2010),3.1428571428571432,6
6630,I Am Legend (2007),3.4838709677419355,6
9016,Doctor Who: The Waters of Mars (2009),4.0,7
9636,Jumanji: Welcome to the Jungle (2017),3.6666666666666665,7
9710,Solo: A Star Wars Story (2018),3.9,7
7633,Your Highness (2011),3.111111111111111,8
422,Last Action Hero (1993),2.9339622641509435,8
4427,Pirates of the Caribbean: The Curse of the Black Pearl (2003),3.7785234899328866,8
8014,'Hellboy': The Seeds of Creation (2004),4.0,8
6488,Pirates of the Caribbean: At World's End (2007),3.4375,8
6732,"Forbidden Kingdom, The (2008)",3.8333333333333335,8
2798,Big Trouble in Little China (1986),3.8571428571428568,8
5839,800 Bullets (800 Balas) (2002),2.5,9
6595,Weirdsville (2007),2.5,9
8279,"Thief of Paris, The (Le voleur) (1967)",3.0,9
2362,Bonfire of the Vanities (1990),2.4,9
6154,Find Me Guilty (2006),3.0,9
5351,Eulogy (2004),3.0,9
9723,BlacKkKlansman (2018),2.5,9
1392,I Went Down (1997),2.0,9
416,Jimmy Hollywood (1994),2.5,9
8389,Veronica Mars (2014),1.75,9
4771,Dragnet (1987),2.5,9
139,"Doom Generation, The (1995)",2.833333333333333,9
8228,3 dev adam (Three Giant Men) (1973) ,0.5,10
6503,Starcrash (a.k.a. Star Crash) (1978),0.5,10
4030,The Pumaman (1980),0.5,10
5787,Double Dragon (1994),1.0,10
8871,Barely Lethal (2015),4.5,11
1154,Austin Powers: International Man of Mystery (1997),3.535,11
7310,Mortadelo & Filemon: The Big Adventure (La gran aventura de Mortadelo y Filemón) (2003),3.5,11
8974,The Man from U.N.C.L.E. (2015),3.4722222222222223,11
3909,In Like Flint (1967),4.0,11
5809,"Three Musketeers, The (1973)",4.0,11
3865,"Sorry, Wrong Number (1948)",3.8,12
4698,"Night of the Hunter, The (1955)",4.0,12
7694,Tinker Tailor Soldier Spy (2011),3.8125,12
1636,"Wrong Man, The (1956)",2.875,12
5431,"Stranger, The (1946)",3.0,12
2787,One False Move (1992),3.75,13
5244,Angels with Dirty Faces (1938),3.75,13
1640,Strangers on a Train (1951),3.98,13
7645,Drive (2011),3.765625,13
2498,Key Largo (1948),4.2,13
5001,"Postman Always Rings Twice, The (1946)",3.6666666666666665,13
944,Miller's Crossing (1990),4.225,13
4834,High Sierra (1941),4.166666666666667,13
8983,Feast (2014),3.0,14
1544,Lady and the Tramp (1955),3.4,14
205,"Goofy Movie, A (1995)",3.0,14
2550,Love Is a Many-Splendored Thing (1955),4.0,15
1421,From Here to Eternity (1953),3.954545454545455,15
346,"Colonel Chabert, Le (1994)",4.5,15
2196,"Year of Living Dangerously, The (1982)",3.8125,15
1532,Doctor Zhivago (1965),4.142857142857143,15
9022,Battle For Sevastopol (2015),5.0,15
3829,"Cranes Are Flying, The (Letyat zhuravli) (1957)",4.0,15
4076,Harry Potter and the Chamber of Secrets (2002),3.5980392156862746,16
3638,"Lord of the Rings: The Fellowship of the Ring, The (2001)",4.106060606060606,16
8617,The Hobbit: The Battle of the Five Armies (2014),3.4166666666666665,16
6912,Dinotopia (2002),3.333333333333333,16
4152,"Thief of Bagdad, The (1940)",3.0,16
6957,Inkheart (2008),3.5,16
2845,Sinbad and the Eye of the Tiger (1977),3.0,16
1598,"Dark Crystal, The (1982)",3.544117647058824,16
4137,"Lord of the Rings: The Two Towers, The (2002)",4.0212765957446805,16
2157,Excalibur (1981),3.64,16
8459,Frank (2014),4.333333333333333,17
7400,Get Low (2009),5.0,17
7275,Gentlemen of Fortune (Dzhentlmeny udachi) (1972),4.75,17
3649,Gosford Park (2001),3.703703703703704,17
8683,Star Wars: Episode VII - The Force Awakens (2015),3.8536585365853657,18
8183,Man of Steel (2013),3.2954545454545454,18
7465,Harry Potter and the Deathly Hallows: Part 1 (2010),3.98936170212766,18
1190,Conan the Barbarian (1982),3.2580645161290325,19
549,Dragonheart (1996),3.0923076923076924,19
3662,Conan the Destroyer (1984),3.125,19
7077,"Librarian, The: The Curse of the Judas Chalice (2008)",3.75,19
9087,Wonder Woman (2017),3.3076923076923075,19
2126,"13th Warrior, The (1999)",2.9038461538461537,19
1644,Willow (1988),3.3375,19
8333,Highlander: The Search for Vengeance (2007),3.0,19
8913,The Last Witch Hunter (2015),3.333333333333333,19
9464,Kong: Skull Island (2017),3.125,19
5010,Jason and the Argonauts (1963),3.5,19
3585,"Beastmaster, The (1982)",2.8,19
1576,Indiana Jones and the Temple of Doom (1984),3.638888888888889,19
8685,Warcraft (2016),3.4166666666666665,19
6221,Pirates of the Caribbean: Dead Man's Chest (2006),3.5069444444444446,19
974,Highlander (1986),3.7291666666666665,19
6540,"Last Legion, The (2007)",3.0,19
6491,"Librarian: Return to King Solomon's Mines, The (2006)",3.5,19
4872,"Thief of Bagdad, The (1924)",3.5,19
7127,"Hunt For Gollum, The (2009)",3.0,19
5572,Porco Rosso (Crimson Pig) (Kurenai no buta) (1992),3.8928571428571432,20
6267,Mind Game (2004),4.25,20
3462,American Outlaws (2001),2.125,21
1061,Young Guns (1988),3.1,21
2029,Wild Wild West (1999),2.207547169811321,21
1523,Hot Lead and Cold Feet (1978),3.0,21
1240,"Fast, Cheap & Out of Control (1997)",2.5,22
2702,Better Living Through Circuitry (1999),2.0,22
7868,Comic-Con Episode IV: A Fan's Hope (2011),2.0,22
4518,Stoked: The Rise and Fall of Gator (2002),2.0,22
9450,Shakespeare Behind Bars (2005),2.5,22
9212,Requiem for the American Dream (2015),2.5,22
9400,Gimme Danger (2016),2.0,22
8512,Beautiful Losers (2008),2.5,22
7960,"Queen of Versailles, The (2012)",2.0,22
3553,Titanica (1992),2.5,22
3612,Pornstar: The Legend of Ron Jeremy (2001),2.5,22
1998,It Came from Hollywood (1982),2.0,22
7295,Mondo Cane (1962),2.0,22
2465,"Brandon Teena Story, The (1998)",2.0,22
7597,African Cats (2011),2.5,22
4333,"Lizzie McGuire Movie, The (2003)",3.0,23
1527,"Parent Trap, The (1998)",3.0,23
3446,"Princess Diaries, The (2001)",3.037037037037037,23
771,"Parent Trap, The (1961)",3.208333333333333,23
2835,Duel in the Sun (1946),5.0,24
4109,"Cruel Romance, A (Zhestokij Romans) (1984)",5.0,24
2234,"Man and a Woman, A (Un homme et une femme) (1966)",5.0,24
3504,Moscow Does Not Believe in Tears (Moskva slezam ne verit) (1979),5.0,24
3807,Rain (2001),5.0,24
5532,"Decalogue, The (Dekalog) (1989)",5.0,24
2319,"Sandpiper, The (1965)",5.0,24
4955,Happy Together (a.k.a. Buenos Aires Affair) (Chun gwong cha sit) (1997),4.75,24
4675,Jane Eyre (1944),5.0,24
4251,Lady Jane (1986),5.0,24
5429,Mr. Skeffington (1944),5.0,24
7252,Anne of Green Gables: The Sequel (a.k.a. Anne of Avonlea) (1987),4.75,24
2882,"Affair of Love, An (Liaison pornographique, Une) (1999)",4.75,24
8675,Guy X (2005),5.0,25
1252,Stripes (1981),3.794117647058824,25
6085,Don't Look Now: We're Being Shot At (La grande vadrouille) (1966),4.5,25
3220,Catch-22 (1970),3.75,25
602,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),4.268041237113402,25
2279,"General, The (1926)",4.0,25
2180,And the Ship Sails On (E la nave va) (1983),4.0,25
3901,K-19: The Widowmaker (2002),3.5,26
3676,The Count of Monte Cristo (2002),3.828125,26
1900,"Towering Inferno, The (1974)",3.2222222222222223,26
3085,Left Behind: The Movie (2000),4.25,26
5953,"Order, The (2001)",3.0,26
1747,Runaway Train (1985),3.25,26
1803,First Blood (Rambo: First Blood) (1982),3.55,26
4988,"Wages of Fear, The (Salaire de la peur, Le) (1953)",3.3,26
3869,She Wore a Yellow Ribbon (1949),3.0,27
3866,Hombre (1967),3.0,27
5616,Purgatory (1999),2.5,27
6850,Appaloosa (2008),3.0,27
2179,Alvarez Kelly (1966),3.0,27
340,Wyatt Earp (1994),3.095238095238096,27
178,Wild Bill (1995),3.0,27
360,Bad Girls (1994),2.5,27
8766,The Dark Valley (2014),2.5,27
2844,Mackenna's Gold (1969),3.0,27
3675,One-Eyed Jacks (1961),3.0,27
6729,Harold & Kumar Escape from Guantanamo Bay (2008),3.3076923076923075,28
732,Around the World in 80 Days (1956),3.625,28
3406,Penn & Teller Get Killed (1989),4.0,28
1608,"Gods Must Be Crazy, The (1980)",3.8928571428571432,28
5836,Incident at Loch Ness (2004),3.5,28
5309,Harold and Kumar Go to White Castle (2004),3.4558823529411766,28
8949,Vacation (2015),3.4166666666666665,28
8269,Crystal Fairy & the Magical Cactus and 2012 (2013),3.5,28
7682,"Inbetweeners Movie, The (2011)",3.6666666666666665,28
7542,"Mechanic, The (2011)",3.375,29
4787,Run (1991),3.5,29
6446,Shooter (2007),3.86,29
1897,Airport 1975 (1974),3.5,29
7026,Scorpio (1973),4.0,29
5343,Ladder 49 (2004),3.6666666666666665,29
2058,Assassination (1987),4.0,29
800,"Long Kiss Goodnight, The (1996)",3.3181818181818183,29
8111,Snitch (2013),3.5,29
6889,JCVD (2008),3.25,29
4058,"Professional, The (Le professionnel) (1981)",3.8684210526315783,29
6861,Body of Lies (2008),3.772727272727273,29
7458,Unstoppable (2010),3.3571428571428568,29
5606,From the Earth to the Moon (1998),3.5,29
6684,Vantage Point (2008),3.4166666666666665,29
6543,"Kingdom, The (2007)",3.8125,29
8056,Zero Dark Thirty (2012),4.107142857142857,29
3616,"Business of Strangers, The (2001)",3.5,29
7070,Prison Break: The Final Break (2009),3.5,29
8582,Painted Skin (2008),3.5,29
2197,High Plains Drifter (1973),4.181818181818182,30
5047,Pat Garrett and Billy the Kid (1973),3.75,30
4029,Tom Horn (1980),4.0,30
2290,Little Big Man (1970),4.145833333333333,30
8757,The Hateful Eight (2015),3.75,30
4385,Winchester '73 (1950),4.0,30
2320,Jeremiah Johnson (1972),4.25,30
4367,Nevada Smith (1966),4.0,30
4479,Open Range (2003),3.9444444444444446,30
7483,True Grit (2010),3.75,30
7098,Winds of the Wasteland (1936),3.5,30
1801,Pale Rider (1985),3.8125,30
3208,Rio Bravo (1959),3.6666666666666665,30
5413,"Atalante, L' (1934)",4.5,31
7174,Love Exposure (Ai No Mukidashi) (2008),5.0,31
2639,All the Vermeers in New York (1990),5.0,31
9083,Jump In! (2007),5.0,31
2665,Bossa Nova (2000),5.0,31
7513,Down Argentine Way (1940),5.0,31
9299,All Yours (2016),5.0,31
6999,Strictly Sexual (2008),5.0,31
3227,How to Marry a Millionaire (1953),4.5,31
5598,"Summer's Tale, A (Conte d'été) (1996)",5.0,31
5906,Saving Face (2004),5.0,31
8300,Red Flag (2012),4.5,31
7243,3 Idiots (2009),4.75,31
6130,Something New (2006),4.5,31
935,Harold and Maude (1971),4.288461538461538,31
936,Trust (1990),4.333333333333333,31
5460,"Thousand Clowns, A (1965)",5.0,31
8504,"One I Love, The (2014)",5.0,31
8267,Mood Indigo (L'écume des jours) (2013),3.5,32
5208,"Christmas Carol, A (Scrooge) (1951)",3.25,32
7082,"Imaginarium of Doctor Parnassus, The (2009)",3.8125,32
7450,Hereafter (2010),4.0,32
8436,"Dance of Reality, The (Danza de la realidad, La) (2013)",3.5,32
7045,Antichrist (2009),3.8,32
3178,Fellini Satyricon (1969),3.5,32
4010,Tuck Everlasting (2002),3.25,32
7050,Special (2006),3.5,32
9395,Endless Poetry (2016),3.5,32
3853,"Fast Runner, The (Atanarjuat) (2001)",3.8333333333333335,32
7930,Beasts of the Southern Wild (2012),3.3571428571428568,32
4742,Beauty and the Beast (La belle et la bête) (1946),3.25,32
169,Three Wishes (1995),3.0,32
7944,"Christmas Carol, A (1999)",3.0,32
7361,TiMER (2009),3.75,33
6282,Angel-A (2005),3.5,33
2350,"Fisher King, The (1991)",3.8055555555555554,33
6256,Stranger than Fiction (2006),3.6931818181818175,33
2510,Defending Your Life (1991),3.85,33
6299,"Science of Sleep, The (La science des rêves) (2006)",3.863636363636364,33
5142,Arizona Dream (1993),4.25,33
5352,P.S. (2004),4.25,33
3097,"Price of Milk, The (2000)",4.5,33
9047,Ordinary Miracle (1978),4.5,33
2103,Big (1988),3.7197802197802203,33
1866,¡Three Amigos! (1986),3.1346153846153846,34
3202,City Slickers (1991),3.370967741935484,34
2896,Cat Ballou (1965),3.1428571428571432,34
9164,The Ridiculous 6 (2015),3.25,34
5479,They Call Me Trinity (1971),3.75,34
4377,Destry Rides Again (1939),3.75,34
2733,Blazing Saddles (1974),3.9354838709677415,34
4873,The Diary of Anne Frank (1959),4.0,35
4845,Ashes and Diamonds (Popiól i diament) (1958),4.0,35
3861,Dark Blue World (Tmavomodrý svet) (2001),4.25,35
918,Ran (1985),4.433333333333334,35
3212,Twelve O'Clock High (1949),4.5,35
4046,Gallipoli (1981),4.285714285714286,35
5857,"Special Day, A (Giornata particolare, Una) (1977)",4.0,35
6323,Chapayev (1934),4.5,35
1414,Mrs. Miniver (1942),4.0,35
3618,No Man's Land (2001),4.1923076923076925,35
5461,Andrei Rublev (Andrey Rublyov) (1969),4.5,35
5205,"Human Condition I, The (Ningen no joken I) (1959)",4.5,35
5495,1900 (Novecento) (1976),4.5,35
5445,"Human Condition II, The (Ningen no joken II) (1959)",4.5,35
605,Stalingrad (1993),4.25,35
2846,"Two Women (Ciociara, La) (1960)",4.0,35
5284,"Leopard, The (Gattopardo, Il) (1963)",4.25,35
1417,"Best Years of Our Lives, The (1946)",4.0625,35
5062,Shame (Skammen) (1968),4.0,35
3307,"Beast of War, The (Beast, The) (1988)",4.0,35
2334,Kagemusha (1980),4.125,35
7034,Paisan (Paisà) (1946),4.0,35
1649,Lifeboat (1944),4.357142857142857,35
5455,Onibaba (1964),4.5,35
6475,Maniac Cop (1988),3.5,36
5167,Mindhunters (2004),2.6666666666666665,36
7683,Red State (2011),3.0,36
6508,Death Proof (2007),3.1346153846153846,36
8339,Dragon Ball Z: Battle of Gods (2013),4.0,37
6433,300 (2007),3.68125,37
8400,Muppets Most Wanted (2014),3.333333333333333,38
3010,"O Brother, Where Art Thou? (2000)",3.808510638297872,38
6133,"Pink Panther, The (2006)",2.8571428571428568,38
5832,Miss Congeniality 2: Armed and Fabulous (2005),2.25,38
1081,Beavis and Butt-Head Do America (1996),2.9354838709677415,38
785,Mary Poppins (1964),3.8873239436619715,39
2329,Babes in Toyland (1934),5.0,39
815,Willy Wonka & the Chocolate Factory (1971),3.8739495798319328,39
8567,You Are the Apple of My Eye (2011),4.0,40
4516,"Battle of Shaker Heights, The (2003)",4.0,40
946,"Graduate, The (1967)",4.063291139240507,40
8876,Afonya (1975),4.0,40
4354,"Spanish Apartment, The (L'auberge espagnole) (2002)",4.0,40
631,Walking and Talking (1996),4.0,40
943,Manhattan (1979),4.106060606060606,40
5711,Touch of Pink (2004),4.0,40
650,Emma (1996),3.9166666666666665,40
5979,"Baxter, The (2005)",4.0,40
4529,Lost in Translation (2003),4.033783783783784,40
1614,"Best Man, The (Testimone dello sposo, Il) (1998)",4.0,40
5492,"Irony of Fate, or Enjoy Your Bath! (Ironiya sudby, ili S legkim parom!) (1975)",4.0,40
52,"Postman, The (Postino, Il) (1994)",4.027027027027027,40
4905,Wilbur Wants to Kill Himself (2002),4.0,40
698,Roman Holiday (1953),4.057692307692308,40
5535,"Law of Desire (Ley del deseo, La) (1987)",4.0,40
8213,Stuck in Love (2012),4.0,40
6309,Conversations with Other Women (2005),4.0,40
7704,The Artist (2011),4.045454545454546,40
2541,Turtle Diary (1985),4.0,40
3916,"Last Kiss, The (Ultimo bacio, L') (2001)",4.0,40
7778,Last Holiday (1950),4.0,40
1671,Say Anything... (1989),3.9230769230769234,40
1175,For Roseanna (Roseanna's Grave) (1997),4.0,40
7420,"Patrik Age 1.5 (Patrik 1,5) (2008)",4.0,40
6329,Shortbus (2006),4.0,40
4275,Pauline at the Beach (Pauline à la Plage) (1983),4.0,40
7916,Seeking a Friend for the End of the World (2012),4.166666666666667,40
6781,"Wackness, The (2008)",4.0,40
7532,Castaway on the Moon (Kimssi pyoryugi) (2009),4.0,40
83,Beautiful Girls (1996),3.95,40
4082,Men with Brooms (2002),4.0,40
4117,Adaptation (2002),3.945652173913044,40
6569,Shanghai Kiss (2007),4.0,40
7048,Marius and Jeanette (Marius et Jeannette) (1997),4.0,40
9126,Dil To Pagal Hai (1997),4.0,40
8764,Boy Meets Girl (2015),4.0,40
6766,Chaos Theory (2007),4.0,40
3089,Nico and Dani (Krámpack) (2000),4.0,40
4093,"Do You Remember Dolly Bell? (Sjecas li se, Dolly Bell) (1981)",4.0,40
6466,In the Land of Women (2007),4.0,40
8398,King of Comedy (Hei kek ji wong) (1999),4.0,40
7621,Submarine (2010),4.166666666666667,40
7647,"Crazy, Stupid, Love. (2011)",3.983870967741936,40
3983,Secretary (2002),3.9,40
3892,My Wife is an Actress (Ma Femme est une Actrice) (2001),4.0,40
6654,Dedication (2007),4.0,40
3439,Billy Liar (1963),3.5,41
5034,Love Crazy (1941),3.5,41
4750,"Navigator, The (1924)",3.5,41
2322,Irma la Douce (1963),3.625,41
7494,One Week (1920),3.5,41
3642,"Party, The (1968)",3.5,41
3753,Road to Morocco (1942),3.5,41
4207,Kiss Me Goodbye (1982),3.5,41
897,Cheech and Chong's Up in Smoke (1978),3.5909090909090913,41
4830,"M. Hulot’s Holiday (Mr. Hulot's Holiday) (Vacances de Monsieur Hulot, Les) (1953)",3.5,41
4729,"What's New, Pussycat (1965)",3.5,41
4736,Life with Father (1947),3.5,41
5251,"Farmer's Daughter, The (1947)",3.5,41
8170,"Rink, The (1916)",3.5,41
4455,"Kiss Me, Stupid (1964)",3.5,41
5054,Gidget (1959),3.5,41
2850,Everything You Always Wanted to Know About Sex * But Were Afraid to Ask (1972),3.458333333333333,41
2813,"Kentucky Fried Movie, The (1977)",3.5,41
7231,Pekka ja Pätkä Suezilla (1958),3.5,41
5218,Silent Movie (1976),3.5,41
3710,Designing Woman (1957),3.5,41
2530,Shanghai Surprise (1986),2.0,42
400,"Getaway, The (1994)",2.25,42
70,"Crossing Guard, The (1995)",3.333333333333333,43
6263,Chaos (2005),3.5,43
5895,Unleashed (Danny the Dog) (2005),3.4444444444444446,43
6914,Punisher: War Zone (2008),3.0,43
5491,French Connection II (1975),3.0,43
7006,"Fast & Furious (Fast and the Furious 4, The) (2009)",3.25,43
7176,"Boondock Saints II: All Saints Day, The (2009)",3.375,43
4249,Cradle 2 the Grave (2003),3.5,43
2443,Patriot Games (1992),3.5161290322580645,43
7991,Taken 2 (2012),3.2857142857142856,43
5818,Hostage (2005),3.05,43
6746,Taken (2008),3.6190476190476186,43
7236,Ninja (2009),3.0,43
8759,Wild Card (2015),3.0,43
307,Clear and Present Danger (1994),3.6045454545454554,43
3578,Spy Game (2001),3.4814814814814814,43
5468,Point Blank (1967),3.0,43
4242,Dark Blue (2003),3.0,43
1181,Face/Off (1997),3.3701298701298703,43
5703,Infernal Affairs 2 (Mou gaan dou II) (2003),3.0,43
2943,Get Carter (1971),3.333333333333333,43
5776,Assault on Precinct 13 (2005),3.1875,43
7783,Contraband (2012),3.0,43
9594,Shot Caller (2017),3.5,43
6396,Smokin' Aces (2006),3.1,43
2165,Double Jeopardy (1999),3.0263157894736836,43
1192,Cop Land (1997),3.28125,43
9713,Ant-Man and the Wasp (2018),3.6666666666666665,44
6879,Futurama: Bender's Game (2008),3.4444444444444446,44
6462,Aqua Teen Hunger Force Colon Movie Film for Theaters (2007),3.0,44
681,Singin' in the Rain (1952),4.074468085106384,45
2737,White Christmas (1954),4.1875,45
5869,"Ascent, The (Voskhozhdeniye) (1977)",3.5,46
2993,Born on the Fourth of July (1989),3.5384615384615383,46
5875,Before the Fall (NaPolA - Elite für den Führer) (2004),3.5,46
6909,"Boy in the Striped Pajamas, The (Boy in the Striped Pyjamas, The) (2008)",3.4166666666666665,46
5812,Germany Year Zero (Germania anno zero) (Deutschland im Jahre Null) (1948),3.5,46
6771,"Children of Huang Shi, The (2008)",3.5,46
2407,Stalag 17 (1953),3.7222222222222223,46
5197,Dragon Seed (1944),3.5,46
2800,Battleship Potemkin (1925),3.65,46
4674,Forbidden Games (Jeux interdits) (1952),3.5,46
1149,Paradise Road (1997),3.5,46
65,"Misérables, Les (1995)",3.4615384615384617,46
1279,Bent (1997),3.5,46
2501,Birdy (1984),3.5,46
6239,"Road to Guantanamo, The (2006)",3.5,46
4897,"Damned, The (La Caduta degli dei) (1969)",3.5,46
6332,Flags of Our Fathers (2006),3.4545454545454546,46
5761,Sergeant York (1941),3.8333333333333335,46
872,"Tin Drum, The (Blechtrommel, Die) (1979)",3.6666666666666665,46
836,E.T. the Extra-Terrestrial (1982),3.766393442622951,47
952,"Day the Earth Stood Still, The (1951)",3.82,47
3844,Requiem for a Heavyweight (1962),4.0,48
5907,Cinderella Man (2005),4.088235294117647,48
1422,On the Waterfront (1954),4.1875,48
5732,Million Dollar Baby (2004),3.8461538461538463,48
929,Raging Bull (1980),4.1875,48
2396,"Hurricane, The (1999)",3.53125,48
486,True Romance (1993),3.8,49
